GEO_ID,STATE NAME,Median Family Income,Mean Family Income,Per Capita Income,Unemploement Rate,Perc Family below PL,Perc Pop below PL
0400000US01,Alabama,66772,86610,28934,5.6,11.6,16
0400000US02,Alaska,92648,112443,37094,7.2,7,10.3
0400000US04,Arizona,73456,97003,32340,5.8,10.1,14.1
0400000US05,Arkansas,62067,82767,27724,5.2,11.8,16.1
0400000US06,California,89798,124332,38576,6.2,9,12.6
0400000US08,Colorado,92752,119073,39545,4.6,6.1,9.8
0400000US09,Connecticut,102061,139506,45668,6,6.7,9.8
0400000US10,Delaware,84825,107809,36574,5.8,7.7,11.4
0400000US11,District of Columbia,120337,173874,58659,7.1,11.3,15.5
0400000US12,Florida,69670,96492,32848,5.4,9.4,13.3
0400000US13,Georgia,74127,99832,32427,5.6,10.6,14.3
0400000US15,Hawaii,97813,120352,37013,4.6,6.3,9.3
0400000US16,Idaho,70885,90514,29494,4.2,8.1,11.9
0400000US17,Illinois,86251,113734,37306,6,8.4,12
0400000US18,Indiana,73265,91731,30693,4.7,8.9,12.9
0400000US19,Iowa,79186,97161,33021,3.9,7.1,11.1
0400000US20,Kansas,77620,99062,32798,4.1,7.6,11.4
0400000US21,Kentucky,65893,85749,29123,5.4,12.3,16.6
0400000US22,Louisiana,65427,88371,29522,6.6,14.2,18.6
0400000US23,Maine,76192,94310,33774,4,6.7,11.1
0400000US24,Maryland,105790,133817,43352,5.2,5.9,9
0400000US25,Massachusetts,106526,139154,45555,5.1,6.6,9.8
0400000US26,Michigan,75470,97175,32854,6,9.2,13.7
0400000US27,Minnesota,92692,116714,38881,3.8,5.6,9.3
0400000US28,Mississippi,58923,77072,25444,7.1,15,19.6
0400000US29,Missouri,72834,93919,31839,4.5,8.9,13
0400000US30,Montana,72773,94034,32463,4.2,7.7,12.8
0400000US31,Nebraska,80125,99693,33205,3.4,6.6,10.4
0400000US32,Nevada,74077,96532,32629,6.6,9,12.8
0400000US33,New Hampshire,97001,120331,41234,3.8,4.6,7.4
0400000US34,New Jersey,104804,138130,44153,5.8,7,9.7
0400000US35,New Mexico,62611,82405,27945,6.6,14.2,18.6
0400000US36,New York,87270,123221,40898,5.7,10,13.6
0400000US37,North Carolina,70978,94483,31993,5.4,10,14
0400000US38,North Dakota,86798,106573,36289,3.1,6.2,10.5
0400000US39,Ohio,74391,95193,32465,5.3,9.6,13.6
0400000US40,Oklahoma,67511,88048,29873,5.1,11.2,15.3
0400000US41,Oregon,80630,103600,35393,5.5,7.8,12.4
0400000US42,Pennsylvania,80996,105058,35518,5.4,8.1,12
0400000US44,Rhode Island,89330,111700,37504,5.5,7.8,11.6
0400000US45,South Carolina,68813,90694,30727,5.5,10.5,14.7
0400000US46,South Dakota,77042,94036,31415,3.5,8,12.8
0400000US47,Tennessee,68793,91215,30869,5.3,10.6,14.6
0400000US48,Texas,76073,102456,32177,5.3,10.9,14.2
0400000US49,Utah,84590,105348,30986,3.6,6.3,9.1
0400000US50,Vermont,83023,102413,35854,3.8,6.4,10.8
0400000US51,Virginia,93284,123883,41255,4.6,6.8,10
0400000US53,Washington,92422,120270,40837,4.9,6.5,10.2
0400000US54,West Virginia,61707,78106,27346,6.5,12.3,17.1
0400000US55,Wisconsin,80844,100128,34450,3.6,6.8,11
0400000US56,Wyoming,81290,98307,34415,4.4,6.7,10.8
0400000US72,Puerto Rico,25468,37911,13318,15.1,39.8,43.4
